"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(Species_Abie_Bal_v1_150)","SElam(Species_Abie_Bal_v1_150)","lam(Species_Pice_Gla_v1_150)","SElam(Species_Pice_Gla_v1_150)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Pinu_Ban_v1_150)","SElam(Species_Pinu_Ban_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Species_Popu_Tre_v1_150)","SElam(Species_Popu_Tre_v1_150)","lam(Species_Sali_Spp_v1_150)","SElam(Species_Sali_Spp_v1_150)","lam(SpeciesGroups_Broadleaf_Spp_v1_150)","SElam(SpeciesGroups_Broadleaf_Spp_v1_150)","lam(SpeciesGroups_Needleleaf_Spp_v1_150)","SElam(SpeciesGroups_Needleleaf_Spp_v1_150)","lam(Structure_Biomass_TotalDead_v1_150)","SElam(Structure_Biomass_TotalDead_v1_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_Age_v1_150)","SElam(Structure_Stand_Age_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","4/9/11","~1 ~ Species_Pice_Gla_v1_150 + Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-10.212798208691,23.1648758505275,NA,NA,NA,NA,-0.365359655033949,0.188718707714432,NA,NA,NA,NA,NA,NA,NA,NA,-42.7033965552569,102.310397293388,NA,NA,-0.295382979077174,0.11207785873016,NA,NA,NA,NA,NA,NA,NA,NA,-0.960608442338772,0.283564421946095,NA,NA,0,1087848.13068786,158.427158352352,5,98,326.854316704704,0,0.0732852725766192,NA,0.0732852725766192
"2","2/4/9","~1 ~ LandCover_NonVeg_v1_150 + Species_Pice_Gla_v1_150 + Species_Sali_Spp_v1_150 + 1",-10.6622022550672,23.3384810164925,0.223076544162632,0.0824397826074562,NA,NA,-0.273038149477801,0.194518062027084,NA,NA,NA,NA,NA,NA,NA,NA,-44.9224676051346,103.074959157218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00534243511867,0.296337480551889,NA,NA,0,2101597.06676375,158.5683195137,5,98,327.136639027401,0.282322322696132,0.0636372192511338,NA,0.136922491827753
"3","2/7/9","~1 ~ LandCover_NonVeg_v1_150 + Species_Popu_Bal_v1_150 + Species_Sali_Spp_v1_150 + 1",-10.4933998131937,20.601253102936,0.246866434310405,0.0831532068080229,NA,NA,NA,NA,NA,NA,NA,NA,0.162911790862531,0.10412804069105,NA,NA,-44.2566740542539,90.9862069528218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01161136836258,0.295188888705239,NA,NA,0,1646720.00489067,158.626713352554,5,98,327.253426705108,0.399110000403709,0.0600276127391356,NA,0.196950104566889
"4","1/2/9","~Julian + 1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + 1",-10.3124711640817,21.1562757769397,0.283864152475238,0.0791877606406635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6335683894746,93.4307945887905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08316925779298,0.298766923361968,0.309998840490533,0.215614452707943,0,1688119.14051037,158.631946532858,5,98,327.263893065715,0.409576361010863,0.0597142979499111,NA,0.2566644025168
"5","2/9","~1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + 1",-9.25580155042809,15.5916816603859,0.267213199427257,0.0773298174987997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.8275585272978,68.8681000062537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.983771898274622,0.29076925738617,NA,NA,1,922031.523869402,159.655649689772,4,98,327.311299379544,0.456982674839537,0.0583155237477298,NA,0.314979926264529
"6","4/5/9","~1 ~ Species_Pice_Gla_v1_150 + Species_Pice_Mar_v1_150 + Species_Sali_Spp_v1_150 + 1",-8.454413139411,17.4002129099384,NA,NA,NA,NA,-0.462759729393355,0.19146031276139,-0.337259614139419,0.151237899150131,NA,NA,NA,NA,NA,NA,-34.9843337505023,76.8628846926799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.968711752735821,0.284879941407274,NA,NA,0,404309.59192676,158.887446335581,5,98,327.774892671161,0.920575966456568,0.0462504727556228,NA,0.361230399020152
"7","4/7/9","~1 ~ Species_Pice_Gla_v1_150 + Species_Popu_Bal_v1_150 + Species_Sali_Spp_v1_150 + 1",-10.2817545063943,23.7205494340396,NA,NA,NA,NA,-0.40583529932505,0.188021848976168,NA,NA,NA,NA,0.246343238405784,0.0978811121573414,NA,NA,-43.2669542689076,104.762935440472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03550348383721,0.301769101750272,NA,NA,0,1326274.55775241,158.988814866103,5,98,327.977629732206,1.12331302750192,0.041791925671855,NA,0.403022324692007
"8","7/9/14","~1 ~ Species_Popu_Bal_v1_150 + Species_Sali_Spp_v1_150 + Structure_Stand_Age_v1_150 + 1",-7.94141429537285,13.0955326845668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214050994491006,0.108804630368277,NA,NA,-32.852011757496,57.8516362267071,NA,NA,NA,NA,NA,NA,NA,NA,-0.281502480554992,0.106125132945355,NA,NA,-0.977656487345711,0.287107484850882,NA,NA,0,386757.394397007,159.100365353053,5,98,328.200730706107,1.34641400140254,0.0373806304619658,NA,0.440402955153973
"9","2/9/15","~1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-12.3312256715389,27.6027985332431,0.391993104782833,0.149321924484057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.3341387533112,121.89948170318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21375719498286,0.213850625404066,-0.981846266826602,0.28871416505056,NA,NA,0,4013139.94018583,159.141496431543,5,98,328.282992863086,1.4286761583819,0.0358743153539318,NA,0.476277270507905
"10","2/3/9","~1 ~ LandCover_NonVeg_v1_150 + Species_Abie_Bal_v1_150 + Species_Sali_Spp_v1_150 + 1",-11.6062226606566,4864.09179533947,0.262944336980806,0.0780788383528373,-4.10978119223541,48132.6916827417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.4143246232464,99.6919749596759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.987839101903151,0.290744763530849,NA,NA,0,424255001959.427,159.228152629692,5,98,328.456305259385,1.60198855468036,0.0328964711301745,NA,0.509173741638079
"11","2/9/10","~1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + 1",-10.2625133333278,19.4507993787758,0.280682621830203,0.0800923680524285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.1663179960733,85.9076594955668,0.109594724069115,0.151299171266961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.974741321907824,0.286217720597873,NA,NA,1,1417552.22573062,159.398705163226,5,98,328.797410326452,1.94309362174801,0.0277382647263423,NA,0.536912006364422
"12","2/9/11","~1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-11.2824843205096,23.3722142243783,0.195669427101644,0.131873926611003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.6826420127069,103.221168326497,NA,NA,-0.118189533608817,0.182054128311513,NA,NA,NA,NA,NA,NA,NA,NA,-0.966517561516009,0.285808513191385,NA,NA,0,2870849.48024403,159.436745077591,5,98,328.873490155181,2.01917345047679,0.026702920558543,NA,0.563614926922965
"13","2/6/9","~1 ~ LandCover_NonVeg_v1_150 + Species_Pinu_Ban_v1_150 + Species_Sali_Spp_v1_150 + 1",-11.1587429486238,22.4167015256921,0.291367884746378,0.0908884187402849,NA,NA,NA,NA,NA,NA,0.0978671813073434,0.1743035715402,NA,NA,NA,NA,-47.2394303041587,99.0011150979037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.991287906376276,0.291933159517737,NA,NA,0,2056048.583619,159.483018362451,5,98,328.966036724902,2.11172002019742,0.0254954411762277,NA,0.589110368099192
"14","2/5/9","~1 ~ LandCover_NonVeg_v1_150 + Species_Pice_Mar_v1_150 + Species_Sali_Spp_v1_150 + 1",-11.214160100201,22.715423091206,0.238190128519361,0.0920499984944468,NA,NA,NA,NA,-0.0881805092470308,0.162621447327319,NA,NA,NA,NA,NA,NA,-47.4218639275865,100.320250639221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.973772175111726,0.287111293122564,NA,NA,0,2184814.23089725,159.490457887944,5,98,328.980915775888,2.12659907118405,0.025306470987472,NA,0.614416839086664
"15","4/9/14","~1 ~ Species_Pice_Gla_v1_150 + Species_Sali_Spp_v1_150 + Structure_Stand_Age_v1_150 + 1",-8.12876164149232,15.1879187431258,NA,NA,NA,NA,-0.276514984051016,0.19443600099587,NA,NA,NA,NA,NA,NA,NA,NA,-33.6586366701314,67.0934801991611,NA,NA,NA,NA,NA,NA,NA,NA,-0.228487917292161,0.108158225913144,NA,NA,-0.975697567390511,0.287666096416467,NA,NA,0,554025.991600497,159.504212405301,5,98,329.008424810602,2.15410810589719,0.0249607755798486,NA,0.639377614666513
"16","2/8/9","~1 ~ LandCover_NonVeg_v1_150 + Species_Popu_Tre_v1_150 + Species_Sali_Spp_v1_150 + 1",-9.75484580656594,17.4044798667381,0.273941657216271,0.0804974170783484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0766078331383188,0.154010804645575,-40.9733736768966,76.8726041802514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.975710442325978,0.287999328909844,NA,NA,1,1127812.93335907,159.516919809845,5,98,329.03383961969,2.1795229149854,0.0246455957071044,NA,0.664023210373617
"17","1/9/11","~Julian + 1 ~ Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-8.27478356112774,14.8778039910495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.4613487375198,65.7112861603198,NA,NA,-0.340923606899053,0.120816154934121,NA,NA,NA,NA,NA,NA,NA,NA,-1.03451088323887,0.284234440796596,0.318839951485075,0.21781675003115,0,407024.709255231,159.527285112209,5,98,329.054570224418,2.20025351971373,0.024391456048241,NA,0.688414666421858
"18","9/11","~1 ~ Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-10.3560869092132,19.9292057198781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.4929904275921,88.0198441898059,NA,NA,-0.311255760131447,0.118278268928319,NA,NA,NA,NA,NA,NA,NA,NA,-0.933071028708492,0.275108937640845,NA,NA,0,721239.210228555,160.554604310773,4,98,329.109208621547,2.25489191684221,0.0237341208351716,NA,0.71214878725703
"19","1/9/14","~Julian + 1 ~ Species_Sali_Spp_v1_150 + Structure_Stand_Age_v1_150 + 1",-11.9167183348315,29.7955517372022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-50.6413841008424,131.578722775999,NA,NA,NA,NA,NA,NA,NA,NA,-0.309317621701465,0.103890947655904,NA,NA,-1.05332509687131,0.290158139852559,0.315868204946139,0.218635941593274,0,2047825.58657416,159.559062964122,5,98,329.118125928243,2.26380922353866,0.023628534179908,NA,0.735777321436938
"20","9/14","~1 ~ Species_Sali_Spp_v1_150 + Structure_Stand_Age_v1_150 + 1",-10.649498586689,20.9800697292611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.8903151800149,92.6586115062567,NA,NA,NA,NA,NA,NA,NA,NA,-0.281821564479363,0.101241375342707,NA,NA,-0.952958838369468,0.28086478639577,NA,NA,0,1004542.42489955,160.589787749508,4,98,329.179575499015,2.32525879431086,0.0229135920026954,NA,0.758690913439633
"21","2/9/12","~1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",-11.5103110567732,24.2200065551579,0.27765244416923,0.0931006929569725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.7597526024922,106.963675186804,NA,NA,NA,NA,0.0404683654456065,0.164112823145545,NA,NA,NA,NA,NA,NA,-0.985532448853899,0.290092400614965,NA,NA,0,2422148.56634282,159.608306390117,5,98,329.216612780234,2.3622960755298,0.0224931682801783,NA,0.781184081719812
"22","2/9/13","~1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-11.7466735609818,25.5076643514116,0.251139043083051,0.104465191304827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.8079528011029,112.649073236407,NA,NA,NA,NA,NA,NA,-0.0376476830347722,0.186494573349244,NA,NA,NA,NA,-0.986442028405571,0.290505734631129,NA,NA,0,2806300.59742385,159.616515844686,5,98,329.233031689372,2.37871498466751,0.0223092675323235,NA,0.803493349252135
"23","8/9/11","~1 ~ Species_Popu_Tre_v1_150 + Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-8.39227294760585,13.4468801691915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2115797605609,0.153717817614019,-34.8874281161812,59.4013481436149,NA,NA,-0.383810774162615,0.11043719398632,NA,NA,NA,NA,NA,NA,NA,NA,-0.957574607390207,0.282633158092944,NA,NA,0,413487.270709719,159.618329021359,5,98,329.236658042718,2.38234133801308,0.0222688535387743,NA,0.82576220279091
"24","2/9/14","~1 ~ LandCover_NonVeg_v1_150 + Species_Sali_Spp_v1_150 + Structure_Stand_Age_v1_150 + 1",-11.1959567401972,22.7016246767712,0.242203103692484,0.169863682349552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.3649845924841,100.259758411156,NA,NA,NA,NA,NA,NA,NA,NA,-0.0306887910880655,0.200637054556976,NA,NA,-0.980370557607781,0.289583190435533,NA,NA,0,3094175.13819009,159.627907912536,5,98,329.255815825071,2.40149912036702,0.0220565610008916,NA,0.847818763791801
"25","9/11/13","~1 ~ Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-10.038613084431,20.5383003160433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.0906649811837,90.7103389836234,NA,NA,-0.27454753286963,0.118030525361333,NA,NA,-0.19311851770357,0.156009072842599,NA,NA,NA,NA,-0.953003126564139,0.281080785024983,NA,NA,0,905020.771956151,159.772672012776,5,98,329.545344025553,2.69102732084821,0.0190839183359163,NA,0.866902682127717
"26","9/10/11","~1 ~ Species_Sali_Spp_v1_150 + SpeciesGroups_Broadleaf_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-11.9989683064481,26.5451096516922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-50.8616017053968,117.23052800894,-0.179318238028597,0.152204733802485,-0.3757545842915,0.113071000390466,NA,NA,NA,NA,NA,NA,NA,NA,-0.963850330872348,0.283968716018997,NA,NA,1,1617535.52049921,159.865314688671,5,98,329.730629377342,2.87631267263737,0.0173953570178623,NA,0.88429803914558
"27","5/9/13","~1 ~ Species_Pice_Mar_v1_150 + Species_Sali_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-10.0586339431718,21.421921391906,NA,NA,NA,NA,NA,NA,-0.303789161096054,0.143910016479586,NA,NA,NA,NA,NA,NA,-42.2440267502039,94.6123709278655,NA,NA,NA,NA,NA,NA,-0.336433000354217,0.157414912357524,NA,NA,NA,NA,-0.971064726627352,0.284795086136034,NA,NA,0,623944.044942982,160.009142461699,5,98,330.018284923397,3.16396821869296,0.0150650208944001,NA,0.89936306003998
"28","7/9/11","~1 ~ Species_Popu_Bal_v1_150 + Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-10.7914590724182,22.109179506261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127899473144541,0.122496823973397,NA,NA,-45.4272080656926,97.645089066132,NA,NA,-0.261139995075601,0.135290766945461,NA,NA,NA,NA,NA,NA,NA,NA,-0.950676719708596,0.28032919546726,NA,NA,0,1268636.87128632,160.056290658981,5,98,330.112581317962,3.25826461325789,0.0143712166467087,NA,0.913734276686689
"29","6/9/11","~1 ~ Species_Pinu_Ban_v1_150 + Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-10.2320434637423,19.6281675541235,NA,NA,NA,NA,NA,NA,NA,NA,0.186929906156384,0.195280314025318,NA,NA,NA,NA,-42.9307197515165,86.6907507892311,NA,NA,-0.394918154366929,0.149065345265079,NA,NA,NA,NA,NA,NA,NA,NA,-0.936763809327722,0.274909646780025,NA,NA,1,869938.113915511,160.12404640587,5,98,330.248092811741,3.39377610703633,0.0134297395253171,NA,0.927164016212006
"30","3/9/14","~1 ~ Species_Abie_Bal_v1_150 + Species_Sali_Spp_v1_150 + Structure_Stand_Age_v1_150 + 1",-11.6201976114577,621.188337730892,NA,NA,-2.17993166081968,6141.03564731197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.2626789537296,106.662331940791,NA,NA,NA,NA,NA,NA,NA,NA,-0.278527482274264,0.101475572603728,NA,NA,-0.956530690772974,0.281709123879989,NA,NA,0,4226610159.77338,160.169748638973,5,98,330.339497277945,3.48518057324071,0.0128297845043797,NA,0.939993800716385
"31","9/11/14","~1 ~ Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_Age_v1_150 + 1",-10.3981403652285,20.2265520607157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.7016311043832,89.3322977684406,NA,NA,-0.180534706180436,0.193092618859979,NA,NA,NA,NA,-0.150856647700732,0.171997963260606,NA,NA,-0.940674485367488,0.277547177390093,NA,NA,0,1534437.64881238,160.170670111982,5,98,330.341340223965,3.4870235192605,0.0128179676495287,NA,0.952811768365914
"32","3/9/11","~1 ~ Species_Abie_Bal_v1_150 + Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + 1",-12.8054858975208,407.60882959504,NA,NA,-2.02392830157345,4023.94646527939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.4683427099017,134.012914743426,NA,NA,-0.305678981821735,0.118668356404284,NA,NA,NA,NA,NA,NA,NA,NA,-0.936711453815677,0.276107091280723,NA,NA,0,1445034067.84183,160.175818044825,5,98,330.35163608965,3.49731938494568,0.0127521511676561,NA,0.96556391953357
"33","7/9/13","~1 ~ Species_Popu_Bal_v1_150 + Species_Sali_Spp_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + 1",-9.61892814352616,19.6989678604611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241073291846268,0.105292962499001,NA,NA,-40.444805952027,87.0052339113846,NA,NA,NA,NA,NA,NA,-0.272133712162701,0.161447020221955,NA,NA,NA,NA,-1.02546428986726,0.298410877631343,NA,NA,0,814162.201640074,160.181519541808,5,98,330.363039083616,3.5087223789115,0.0126796516904188,NA,0.978243571223989
"34","4/9","~1 ~ Species_Pice_Gla_v1_150 + Species_Sali_Spp_v1_150 + 1",-10.653403438719,23.520712183625,NA,NA,NA,NA,-0.375569535508475,0.192637874362987,NA,NA,NA,NA,NA,NA,NA,NA,-44.9437388880826,103.879819416903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.992598122944018,0.291830193319076,NA,NA,0,704030.933023746,161.259176580577,4,98,330.518353161154,3.66403645644988,0.011732249771513,NA,0.989975820995502
"35","9/11/15","~1 ~ Species_Sali_Spp_v1_150 + SpeciesGroups_Needleleaf_Spp_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-11.3279762534452,24.0078042079161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.8074651146936,106.027840777502,NA,NA,-0.278535717687161,0.134250590963602,NA,NA,NA,NA,NA,NA,-0.0742205728833533,0.144902218654343,-0.939110615588474,0.277250175274961,NA,NA,0,1405502.08850962,160.416517946204,5,98,330.833035892408,3.97871918770358,0.0100241790044978,NA,1
