"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","246","~1 ~ S150.mean_MaxHeight + S150.VPD__4.5m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",1.49012313330231,0.828984052487465,-0.624897259546738,0.143799262192556,NA,NA,0.280537918311553,0.0971636814189694,NA,NA,-0.301758536645708,0.123838241480033,NA,NA,-2.74645215325417,0.891157084803691,NA,NA,0,452.989480451277,270.115469751609,5,98,550.230939503219,0,0.194304755793504,NA,0.194304755793504,0.35090223617936
"2","234","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + S150.VPD__4.5m_Grid.1x1m.mean + 1",1.63327054169415,0.992066018154163,-0.624599670451934,0.153373432382731,0.296449557126973,0.125458716845389,0.215641976574038,0.094617562720552,NA,NA,NA,NA,NA,NA,-2.91296822068223,1.05804873511162,NA,NA,0,662.023490297801,270.135121999605,5,98,550.270243999209,0.0393044959909048,0.190523507258741,NA,0.384828263052246,0.350641852738199
"3","237","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + Tremblingaspen_50 + 1",1.39023273607426,0.754587531680092,-0.409328908314123,0.153800184643324,0.274988237955374,0.121773115127507,NA,NA,NA,NA,NA,NA,-0.314289854615254,0.179726087319257,-2.62714742265323,0.817242907035941,NA,NA,0,397.931054372044,270.815963924733,5,98,551.631927849466,1.40098834624723,0.0964412157492472,NA,0.481269478801493,0.341556219503143
"4","245","~1 ~ S150.mean_MaxHeight + S150.VPD__4.5m_Grid.1x1m.mean + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",1.44130469044664,0.841315786297848,-0.751936938942861,0.138193896841433,NA,NA,0.190137460401485,0.0908313849315509,-0.215547555518988,0.114362974688263,NA,NA,NA,NA,-2.6935598213768,0.90933729615313,NA,NA,0,408.653161828137,271.351625476446,5,98,552.703250952893,2.47231144967441,0.0564453045262423,NA,0.537714783327735,0.334318711076429
"5","367","~1 ~ S150.sd_PercCanopyDensity + Structure_Biomass_TotalLiveAboveGround_v1_500 + Tremblingaspen_50 + 1",1.28876403393862,0.648993947714305,NA,NA,0.317375618881187,0.122441263853013,NA,NA,NA,NA,-0.247059232589542,0.107153785453006,-0.494106587781833,0.177159088017163,-2.48434651105663,0.708509113971821,NA,NA,0,276.668612662221,271.51758983164,5,98,553.035179663279,2.80424016006054,0.0478134869087626,NA,0.585528270236498,0.332060207492166
"6","235","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",1.47155145699033,0.836502205570061,-0.55717883490456,0.134897254604114,0.223502862330814,0.118025750234625,NA,NA,-0.172352831827933,0.118547033897505,NA,NA,NA,NA,-2.6947604765702,0.903561767483834,NA,NA,0,476.168764414957,271.598160408837,5,98,553.196320817675,2.96538131445595,0.0441122347260289,NA,0.629640504962527,0.330961012311034
"7","23","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",1.33158244052748,0.6771684609211,-0.543045152934601,0.135013756342913,0.248031256094108,0.114771447532206,NA,NA,NA,NA,NA,NA,NA,NA,-2.51844644366429,0.74010830857565,NA,NA,0,299.855808697622,272.671590239062,4,98,553.343180478123,3.11224097490492,0.0409891478539881,NA,0.670629652816515,0.316142838758031
"8","257","~1 ~ S150.mean_MaxHeight + SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_50 + 1",1.26336331917899,0.679642393320071,-0.536102768240313,0.138391811601842,NA,NA,NA,NA,-0.209291681682861,0.116709132481386,NA,NA,-0.297234301988734,0.187386731805906,-2.47920460994728,0.744041494333536,NA,NA,0,281.412615387427,271.964886023635,5,98,553.929772047269,3.69883254405067,0.0305697684241072,NA,0.701199421240622,0.325935008910462
"9","236","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",1.36722625672165,0.695729854135401,-0.469910108623364,0.144183323919776,0.226467961716022,0.113177791309752,NA,NA,NA,NA,-0.12977691796255,0.11036410497873,NA,NA,-2.5515576379738,0.757740950919808,NA,NA,0,372.276201184937,271.969529340914,5,98,553.939058681827,3.70811917860885,0.0304281523288383,NA,0.73162757356946,0.325871130422256
"10","267","~1 ~ S150.mean_MaxHeight + Structure_Biomass_TotalLiveAboveGround_v1_500 + Tremblingaspen_50 + 1",1.20949544717412,0.601958102874357,-0.377294426734634,0.157416287917939,NA,NA,NA,NA,NA,NA,-0.202056423633064,0.115617777587067,-0.363518918283441,0.198405745900635,-2.39146197681765,0.661987228690976,NA,NA,0,246.707738615428,272.066383683412,5,98,554.132767366824,3.90182786360549,0.0276192750632068,NA,0.759246848632667,0.324537316545197
"11","124","~Julian + 1 ~ S150.mean_MaxHeight + S150.VPD__4.5m_Grid.1x1m.mean + 1",1.2109977826077,0.614241431013818,-0.755008003562774,0.140753974366665,NA,NA,0.214937717350671,0.0936457632289198,NA,NA,NA,NA,NA,NA,-2.41872461521132,0.680052058649654,-0.159828050807922,0.11148768345229,0,203.832006111857,272.092159272708,5,98,554.184318545416,3.95337904219707,0.0269164685095832,NA,0.78616331714225,0.324181907795263
"12","24","~1 ~ S150.mean_MaxHeight + S150.VPD__4.5m_Grid.1x1m.mean + 1",1.26040004106959,0.648393895364733,-0.748407925035232,0.138298848481062,NA,NA,0.183671393135378,0.089428273264997,NA,NA,NA,NA,NA,NA,-2.46151541183806,0.713618725904729,NA,NA,0,228.600926739365,273.165173856528,4,98,554.330347713057,4.09940820983809,0.0250212065604254,NA,0.811184523702675,0.30921944160229
"13","247","~1 ~ S150.mean_MaxHeight + S150.VPD__4.5m_Grid.1x1m.mean + Tremblingaspen_50 + 1",1.24325796782711,0.651340497616941,-0.640129700691467,0.161128808623006,NA,NA,0.155552081211475,0.0926455499656328,NA,NA,NA,NA,-0.240852218506757,0.191436673593302,-2.46614557350853,0.715033129133088,NA,NA,0,250.498626888705,272.244887701022,5,98,554.489775402044,4.25883589882494,0.0231040952004623,NA,0.834288618903138,0.32207215961942
"14","25","~1 ~ S150.mean_MaxHeight + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",1.26033527649196,0.660441185379724,-0.651795378331314,0.119204037075607,NA,NA,NA,NA,-0.215324509504527,0.11713376682951,NA,NA,NA,NA,-2.43713210672474,0.727496259679409,NA,NA,0,244.453137518215,273.48593715651,4,98,554.971874313021,4.74093480980218,0.0181552618490138,NA,0.852443880752152,0.30468262773881
"15","123","~Julian + 1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",1.28535367374981,0.651467361902431,-0.543360413634944,0.134906149694618,0.23635463737727,0.117227316898606,NA,NA,NA,NA,NA,NA,NA,NA,-2.46653090798056,0.716055694164648,-0.0606634363710551,0.108800497648191,0,278.153471985458,272.512986919039,5,98,555.025973838078,4.79503433485957,0.0176707488505294,NA,0.870114629602681,0.31835277080644
"16","27","~1 ~ S150.mean_MaxHeight + Tremblingaspen_50 + 1",1.13857026283072,0.560971017213715,-0.523539571855525,0.138247434364625,NA,NA,NA,NA,NA,NA,NA,NA,-0.314809991506961,0.193648891799924,-2.30855711509338,0.622631881170005,NA,NA,0,182.506399140561,273.619371280607,4,98,555.238742561214,5.00780305799549,0.0158873993866829,NA,0.886002028989364,0.302786597030169
"17","256","~1 ~ S150.mean_MaxHeight + SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",1.29108460092155,0.670810938790201,-0.566532310645947,0.135719869458323,NA,NA,NA,NA,-0.194053817482218,0.118401123538166,-0.126491578933278,0.108807830194069,NA,NA,-2.46280434940106,0.736404310507155,NA,NA,0,302.131227800988,272.792882347453,5,98,555.585764694906,5.35482519168784,0.0133566613348087,NA,0.899358690324173,0.314447956667608
"18","127","~Julian + 1 ~ S150.mean_MaxHeight + Tremblingaspen_50 + 1",1.08293010542729,0.523086641496554,-0.507321743097611,0.140330900738616,NA,NA,NA,NA,NA,NA,NA,NA,-0.329232390558251,0.195709373261326,-2.24506138163087,0.585674058340853,-0.124825588903389,0.111433432535625,0,158.083227837157,272.980207524184,5,98,555.960415048367,5.72947554514849,0.0110749971662133,NA,0.910433687490386,0.311822100638191
"19","125","~Julian + 1 ~ S150.mean_MaxHeight + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",1.20687571033933,0.621053796969803,-0.642798697112628,0.119758151945203,NA,NA,NA,NA,-0.211859270322043,0.119198570239961,NA,NA,NA,NA,-2.37728619531985,0.688781941956508,-0.0977229111997849,0.109114765465192,0,215.268893711288,273.072116877767,5,98,556.144233755534,5.91329425231561,0.0101024776583937,NA,0.92053616514878,0.310530073250021
"20","26","~1 ~ S150.mean_MaxHeight + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",1.19498069589616,0.572356408562492,-0.54534393322687,0.132107997640458,NA,NA,NA,NA,NA,NA,-0.162501767548126,0.112620920269722,NA,NA,-2.32754972645393,0.635392466757444,NA,NA,0,209.082408672227,274.170328717473,4,98,556.340657434945,6.10971793172689,0.00915746017502334,NA,0.929693625323803,0.29490286971194
"21","37","~1 ~ S150.sd_PercCanopyDensity + Tremblingaspen_50 + 1",1.17356930904112,0.571558117203754,NA,NA,0.433632125151596,0.118613553745033,NA,NA,NA,NA,NA,NA,-0.506622609099874,0.177017203025887,-2.34354501245029,0.633304562858983,NA,NA,0,181.802291883637,274.205393733986,4,98,556.410787467972,6.17984796475389,0.00884191825477948,NA,0.938535543578582,0.294398112750363
"22","2","~1 ~ S150.mean_MaxHeight + 1",1.13836950656122,0.539913263958612,-0.645751797316698,0.117453949251886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.26550496979904,0.603660266111501,NA,NA,0,155.210381031832,275.22605646215,3,98,556.452112924301,6.22117342108209,0.00866109468900534,NA,0.947196638267588,0.279546387525849
"23","347","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__4.5m_Grid.1x1m.mean + Tremblingaspen_50 + 1",1.28397928482021,0.662734710315317,NA,NA,0.500139599837712,0.128919767122424,0.1458720756522,0.105239527670431,NA,NA,NA,NA,-0.467299019723432,0.173459458970973,-2.48844007996882,0.727880262041989,NA,NA,0,250.127653955987,273.25719129006,5,98,556.514382580121,6.28344307690202,0.00839558770123319,NA,0.955592225968821,0.307921001296325
"24","346","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__4.5m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",1.41900732501652,0.722942868750821,NA,NA,0.446285738784351,0.116380214096243,0.303186283326233,0.106271171616055,NA,NA,-0.373361737005314,0.120287826598059,NA,NA,-2.59339994585027,0.787448392162063,NA,NA,0,330.217722521645,273.438376324131,5,98,556.876752648261,6.64581314504267,0.00700427908475946,NA,0.96259650505358,0.305357195675371
"25","467","~1 ~ S150.VPD__4.5m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + Tremblingaspen_50 + 1",1.10194741009567,0.52355432761588,NA,NA,NA,NA,0.173240136343304,0.100186201195536,NA,NA,-0.440010413410615,0.120344740158666,-0.584862098723084,0.190277321491835,-2.2794984601706,0.581152866621856,NA,NA,0,144.900694223719,273.525467300861,5,98,557.050934601722,6.81999509850368,0.00642007810413627,NA,0.969016583157717,0.304121462716955
"26","357","~1 ~ S150.sd_PercCanopyDensity + SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_50 + 1",1.23297562816617,0.630260111293872,NA,NA,0.41988365037037,0.120318994818093,NA,NA,-0.133473598380578,0.117831463468192,NA,NA,-0.501063308422469,0.175020618870084,-2.42416640705472,0.694511752013503,NA,NA,0,230.790132300027,273.550734359471,5,98,557.101468718941,6.87052921572274,0.00625989382916972,NA,0.975276476986886,0.303762537453898
"27","12","~Julian + 1 ~ S150.mean_MaxHeight + 1",1.09776876214646,0.513893937524133,-0.638715346973478,0.117838937968307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22083638529862,0.578182102669613,-0.113121468473854,0.111564958150749,0,139.996077764781,274.696249521957,4,98,557.392499043915,7.16155954069609,0.00541215885522781,NA,0.980688635842114,0.287294248548133
"28","126","~Julian + 1 ~ S150.mean_MaxHeight + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",1.15203772868259,0.548596728848542,-0.551378354881996,0.133004661976587,NA,NA,NA,NA,NA,NA,-0.144293745197668,0.115359562707382,NA,NA,-2.28060374515713,0.612424509442313,-0.081182577383467,0.112831640202146,0,192.318735282525,273.905414386351,5,98,557.810828772703,7.57988926948406,0.00439067598386873,NA,0.985079311825983,0.298704631147661
"29","137","~Julian + 1 ~ S150.sd_PercCanopyDensity + Tremblingaspen_50 + 1",1.13264324492292,0.548666783665917,NA,NA,0.413524995973271,0.123076253366223,NA,NA,NA,NA,NA,NA,-0.512581091613889,0.178514925157735,-2.29524717726439,0.611776601504534,-0.076660113300371,0.112804645613654,0,167.767231508343,273.969184310272,5,98,557.938368620543,7.70742911732452,0.00411942369602076,NA,0.989198735522004,0.297791352252478
"30","67","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + Tremblingaspen_50 + 1",1.02474020297112,0.473092156309609,NA,NA,NA,NA,NA,NA,NA,NA,-0.347522774001947,0.103600549554024,-0.623557039395402,0.190713763676316,-2.16502990335436,0.530645708960694,NA,NA,0,116.697645181234,274.999000022217,4,98,557.998000044434,7.76706054121507,0.00399841311847977,NA,0.993197148640483,0.282877106093298
"31","567","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + Tremblingaspen_50 + 1",1.05174393686575,0.49281292356245,NA,NA,NA,NA,NA,NA,-0.143979687676913,0.117719351382188,-0.31926692560922,0.102305820484876,-0.602595885796306,0.187414368841655,-2.20211299894809,0.550716549328193,NA,NA,0,134.371182160021,274.232561879881,5,98,558.465123759762,8.23418425654381,0.00316557813613747,NA,0.996362726776621,0.29400678192604
"32","167","~Julian + 1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + Tremblingaspen_50 + 1",0.996261982003136,0.457018576729308,NA,NA,NA,NA,NA,NA,NA,NA,-0.326202145169796,0.10606037758074,-0.634457813368994,0.191462504671048,-2.13344899005008,0.515357833132745,-0.101468707556313,0.115567347484334,0,108.974820835626,274.60531981751,5,98,559.21063963502,8.97970013180145,0.00218055136976522,NA,0.998543278146386,0.28861559609683
"33","36","~1 ~ S150.sd_PercCanopyDensity + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",1.12858832081534,0.49544722617123,NA,NA,0.389192703175175,0.11236829572373,NA,NA,NA,NA,-0.263531381248137,0.109187089579148,NA,NA,-2.20517572447165,0.556859106624944,NA,NA,0,149.2892024487,277.344902865611,4,98,562.689805731222,12.4588662280031,0.000382890863782014,NA,0.998926169010168,0.247709318135119
"34","356","~1 ~ S150.sd_PercCanopyDensity + SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",1.15222184437551,0.519662632130488,NA,NA,0.380243851132332,0.11472655722803,NA,NA,-0.109813360951247,0.120703223666821,-0.246040626734816,0.107616938271032,NA,NA,-2.2409675181826,0.582365902691781,NA,NA,0,171.754333502467,276.924033669027,5,98,563.848067338053,13.6171278348345,0.000214566388547133,NA,0.999140735398715,0.254143198252211
"35","136","~Julian + 1 ~ S150.sd_PercCanopyDensity + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",1.12740668430702,0.501264826792016,NA,NA,0.389042250384599,0.112861082131322,NA,NA,NA,NA,-0.263220380167457,0.111308163106627,NA,NA,-2.20380111980089,0.564002415377722,-0.00166041298355748,0.114826549821992,0,156.009002621174,277.344798573162,5,98,564.689597146325,14.458657643106,0.000140872368155885,NA,0.999281607766871,0.24771091932193
"36","34","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__4.5m_Grid.1x1m.mean + 1",1.13551638349226,0.50750483319819,NA,NA,0.565559157044077,0.114444269051043,0.203580609864831,0.105364891585212,NA,NA,NA,NA,NA,NA,-2.22468472448501,0.572135797443914,NA,NA,0,132.396948736398,278.488924217291,4,98,564.977848434581,14.7469089313627,0.000121964332561282,NA,0.999403572099432,0.229938664000313
"37","345","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__4.5m_Grid.1x1m.mean + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",1.19632310229587,0.566467558636495,NA,NA,0.555610658916581,0.117253326788869,0.215563500911681,0.10750383868667,-0.148669356539859,0.11852273102271,NA,NA,NA,NA,-2.31484513083253,0.634305894871885,NA,NA,0,172.537641989611,277.684170551126,5,98,565.368341102252,15.1374015990333,0.000100331761726089,NA,0.999503903861159,0.242482511223853
"38","157","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_50 + 1",0.878442989559975,0.383752050982439,NA,NA,NA,NA,NA,NA,-0.187874040723626,0.119032074083388,NA,NA,-0.671528577324619,0.190601288473301,-1.96292600292614,0.443455958085862,-0.181744211012073,0.117133102197119,0,67.7364403768901,278.058277964773,5,98,566.116555929547,15.8856164263281,6.9018521661356e-05,NA,0.99957292238282,0.236676848010079
"39","134","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__4.5m_Grid.1x1m.mean + 1",1.09339964102089,0.487866376961658,NA,NA,0.552697153573849,0.116020310078168,0.215192535882593,0.106674368697565,NA,NA,NA,NA,NA,NA,-2.17721380508308,0.553631622884429,-0.0896947024337704,0.11547126105534,0,122.155033202851,278.178871933782,5,98,566.357743867564,16.1268043643454,6.11775889877401e-05,NA,0.999634099971808,0.234795918696209
"40","57","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_50 + 1",0.876757743160102,0.392429240223407,NA,NA,NA,NA,NA,NA,-0.18558672344796,0.116319766621621,NA,NA,-0.665513164829811,0.19144053743139,-1.95650265078956,0.451912520327646,NA,NA,0,70.7942328278489,279.293336769816,4,98,566.586673539632,16.3557340364132,5.45608227640938e-05,NA,0.999688660794572,0.217192550839448
"41","3","~1 ~ S150.sd_PercCanopyDensity + 1",1.03441429311014,0.436446001023457,NA,NA,0.50487031542442,0.106911222326068,NA,NA,NA,NA,NA,NA,NA,NA,-2.07639087556771,0.498667369041269,NA,NA,0,95.7457969988721,280.314346361574,3,98,566.628692723148,16.3977532199291,5.34264799167928e-05,NA,0.999742087274489,0.200710121204548
"42","17","~Julian + 1 ~ Tremblingaspen_50 + 1",0.838813574325206,0.357831399303123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.708302380929821,0.19434134278969,-1.9008159092686,0.415844482907995,-0.185895029852619,0.11848370732366,0,55.492630882645,279.355768950363,4,98,566.711537900726,16.4805983975072,5.12586258365286e-05,NA,0.999793345900325,0.216194519737149
"43","7","~1 ~ Tremblingaspen_50 + 1",0.837778547004254,0.366347041282303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.699686182787199,0.194978142688066,-1.89498063253767,0.424191713906897,NA,NA,0,58.1395636212158,280.61799395647,3,98,567.23598791294,17.0050484097216,3.94352034813561e-05,NA,0.999832781103806,0.195741631301735
"44","35","~1 ~ S150.sd_PercCanopyDensity + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",1.06729552975117,0.468110820877258,NA,NA,0.490387163964242,0.109722929184171,NA,NA,-0.135893716925216,0.119810397153227,NA,NA,NA,NA,-2.13059275769103,0.532491216311685,NA,NA,0,114.547772290079,279.654583019422,4,98,567.309166038844,17.078226535625,3.80183844406696e-05,NA,0.999870799488247,0.21140007687294
"45","13","~Julian + 1 ~ S150.sd_PercCanopyDensity + 1",1.0086753120568,0.426716608391137,NA,NA,0.495493981238751,0.108645476957119,NA,NA,NA,NA,NA,NA,NA,NA,-2.04633092505554,0.489953701280164,-0.0612097330127726,0.11611459172377,0,91.792847107592,280.173075612022,4,98,568.346151224044,18.1152117208256,2.26368079367661e-05,NA,0.999893436296184,0.203011216377297
"46","147","~Julian + 1 ~ S150.VPD__4.5m_Grid.1x1m.mean + Tremblingaspen_50 + 1",0.842485155855986,0.358266208250639,NA,NA,NA,NA,0.053337672526687,0.10086528041809,NA,NA,NA,NA,-0.697622096868066,0.195454625316835,-1.90637808833292,0.416261820206054,-0.197849203256161,0.120819277617143,0,56.7653422915281,279.215708153472,5,98,568.431416306944,18.2004768037251,2.16920256133602e-05,NA,0.999915128321797,0.21843173753879
"47","457","~1 ~ S150.VPD__4.5m_Grid.1x1m.mean + SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_50 + 1",0.879594526141608,0.393957006044078,NA,NA,NA,NA,0.0374658784129029,0.101650484616973,-0.189185124404431,0.116620033577262,NA,NA,-0.657560442614681,0.192541271892751,-1.96126331201462,0.453459098623934,NA,NA,0,72.277196845353,279.22531570733,5,98,568.45063141466,18.2196919114418,2.14846162526938e-05,NA,0.99993661293805,0.218278478449524
"48","135","~Julian + 1 ~ S150.sd_PercCanopyDensity + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",1.03921297806323,0.456265239085398,NA,NA,0.479777375857545,0.111874959837902,NA,NA,-0.137518825805482,0.12086073045797,NA,NA,NA,NA,-2.09788643385742,0.521650727111762,-0.0618419756134692,0.115313579464794,0,109.087120245351,279.508230421448,5,98,569.016460842897,18.7855213396781,1.61904642401173e-05,NA,0.99995280340229,0.213751943422941
"49","47","~1 ~ S150.VPD__4.5m_Grid.1x1m.mean + Tremblingaspen_50 + 1",0.8392365607774,0.367044680045817,NA,NA,NA,NA,0.0215026866172292,0.0977833247074067,NA,NA,NA,NA,-0.695101057599329,0.196141934118999,-1.89711003393808,0.424910024074557,NA,NA,0,59.372608071796,280.593809523724,4,98,569.187619047447,18.9566795442286,1.48625308766377e-05,NA,0.999967665933167,0.196138483000046
"50","456","~1 ~ S150.VPD__4.5m_Grid.1x1m.mean + SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.993112853410977,0.429463615230885,NA,NA,NA,NA,0.245448991270778,0.105281714116654,-0.169469267194546,0.117469031564933,-0.47284158866491,0.120538840789605,NA,NA,-2.03809185428906,0.491772553629416,NA,NA,0,92.494242366615,279.835396940337,5,98,569.670793880675,19.4398543774563,1.16727366626174e-05,NA,0.999979338669829,0.208484704383129
"51","46","~1 ~ S150.VPD__4.5m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.9738880433568,0.414588767575626,NA,NA,NA,NA,0.239078734773593,0.101863087774414,NA,NA,-0.5194253297483,0.120958791718017,NA,NA,-2.00373340359641,0.477317141062606,NA,NA,0,80.3472185780762,280.907174248966,4,98,569.814348497932,19.5834089947137,1.08642612110935e-05,NA,0.99999020293104,0.190981155563935
"52","146","~Julian + 1 ~ S150.VPD__4.5m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.941054282883717,0.398824825516808,NA,NA,NA,NA,0.252553592634421,0.103989386282855,NA,NA,-0.503667135853338,0.122486506635489,NA,NA,-1.96587425336096,0.462165904611262,-0.0984070246317311,0.121372453885656,0,74.3299708420179,280.569575747631,5,98,571.139151495262,20.9082119920433,5.60173916998106e-06,NA,0.99999580467021,0.196535947971004
"53","56","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.904044530858155,0.37135279166505,NA,NA,NA,NA,NA,NA,-0.172066795514373,0.117824879245676,-0.373701532035351,0.105560558778214,NA,NA,-1.89222176943674,0.432064574461128,NA,NA,0,67.7226411460926,282.500826107545,4,98,573.001652215091,22.770712711872,2.20742517183767e-06,NA,0.999998012095382,0.164236467177201
"54","6","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.88776382663208,0.358598885821452,NA,NA,NA,NA,NA,NA,NA,NA,-0.416003651246367,0.106228209766981,NA,NA,-1.86060524649594,0.419342114482992,NA,NA,0,58.8414680497724,283.60557173514,3,98,573.21114347028,22.9802039670611,1.98790461775047e-06,NA,1,0.145179464646741
