"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","lam(Whitebirch_500)","SElam(Whitebirch_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","167","~Julian + 1 ~ Tremblingaspen_500 + Whitebirch_500 + 1",-0.676885697408681,0.248695326769525,NA,NA,NA,NA,NA,NA,NA,NA,0.990530551531341,0.183292808417048,-0.431493413392425,0.17404003462855,-1.07790937993774,0.30655542692278,-0.747363095700868,0.202166471088211,0,19.0474535961399,155.681345965607,5,98,321.362691931215,0,0.54822081883015,NA,0.54822081883015,0.337760724871439
"2","126","~Julian + 1 ~ S500.mean_MaxHeight + Tremblingaspen_500 + 1",-0.726879186803388,0.246176224529791,0.459758373679204,0.209289188400585,NA,NA,NA,NA,NA,NA,0.360496800164594,0.162344176579815,NA,NA,-0.943665380274721,0.298150078881425,-0.586678206981289,0.200556065981385,0,20.9532335973319,157.019878788796,5,98,324.039757577592,2.67706564637757,0.143760013540662,NA,0.691980832370813,0.319420984106203
"3","156","~Julian + 1 ~ Structure_Stand_Age_v1_500 + Tremblingaspen_500 + 1",-0.678626186292996,0.249564058435435,NA,NA,NA,NA,NA,NA,0.378804224892978,0.247114887501821,0.669227081438957,0.127708807228787,NA,NA,-1.00672372541027,0.30853748081279,-0.653816263034795,0.201641727576208,0,15.841319372864,158.002103883689,5,98,326.004207767377,4.64151583616228,0.0538348077288897,NA,0.745815640099702,0.305640845788437
"4","16","~Julian + 1 ~ Tremblingaspen_500 + 1",-0.670840891543749,0.231842479076811,NA,NA,NA,NA,NA,NA,NA,NA,0.612434142228775,0.113959596137411,NA,NA,-0.91236661147366,0.286254428147895,-0.606113976810656,0.200210981634671,0,13.9388129705371,159.31950776421,4,98,326.63901552842,5.27632359720542,0.0391937133907634,NA,0.785009353490466,0.286719227375637
"5","136","~Julian + 1 ~ Species_Pice_Gla_v1_500 + Tremblingaspen_500 + 1",-0.708805307012825,0.237426976175965,NA,NA,-0.241814963267148,0.179065846493674,NA,NA,NA,NA,0.674583803744165,0.124670062801789,NA,NA,-0.908148041905578,0.288483119825106,-0.574561205866094,0.201136043717491,0,14.4572200073952,158.344139155729,5,98,326.688278311458,5.32558638024295,0.0382401101905836,NA,0.823249463681049,0.300777046810683
"6","12","~Julian + 1 ~ S500.mean_MaxHeight + 1",-0.720191822931822,0.239271307343044,0.742248867701407,0.150699615196411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.910328639372608,0.292790715341895,-0.601820416119436,0.200451530211645,0,11.0486967548668,159.456187997723,4,98,326.912375995446,5.54968406423137,0.0341866811356126,NA,0.857436144816662,0.284726829825782
"7","124","~Julian + 1 ~ S500.mean_MaxHeight + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",-0.709428105169603,0.241060099915383,0.647937540066962,0.168266059548182,NA,NA,0.177327660364559,0.142906708230191,NA,NA,NA,NA,NA,NA,-0.926375397130578,0.297739197456562,-0.58355611269697,0.199570535292139,0,16.1867081711133,158.702688000838,5,98,327.405376001677,6.04268407046209,0.0267179633711107,NA,0.884154108187773,0.295641841288006
"8","123","~Julian + 1 ~ S500.mean_MaxHeight + Species_Pice_Gla_v1_500 + 1",-0.731541134260082,0.241067074645511,0.772949332612397,0.150558245806934,-0.190881934577913,0.164182806002002,NA,NA,NA,NA,NA,NA,NA,NA,-0.911760979847339,0.295995782493302,-0.587445958074386,0.200783009482176,0,11.3939609142688,158.754186083119,5,98,327.508372166238,6.14568023502284,0.0253768677951081,NA,0.909530975982881,0.294901184915291
"9","236","~1 ~ S500.mean_MaxHeight + Species_Pice_Gla_v1_500 + Tremblingaspen_500 + 1",-0.838512901107888,0.266474228898756,0.52550618861221,0.190641279680397,-0.372004483572767,0.181576971183832,NA,NA,NA,NA,0.463055615963922,0.160015645809708,NA,NA,-0.86682154415571,0.320770638899203,NA,NA,0,24.7620880853105,159.181814789837,5,98,328.363629579674,7.00093764845911,0.0165470747779513,NA,0.926078050760832,0.288720776090134
"10","146","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_500 + 1",-0.669425507298456,0.232654176829659,NA,NA,NA,NA,0.0779325967979203,0.164882130690875,NA,NA,0.571564750510859,0.14354451732609,NA,NA,-0.917378438049384,0.288320995307024,-0.600026581369581,0.200122434022357,0,18.6721203113166,159.208758176989,5,98,328.417516353979,7.05482442276394,0.0161071930977192,NA,0.942185243858551,0.28832956096053
"11","125","~Julian + 1 ~ S500.mean_MaxHeight + Structure_Stand_Age_v1_500 + 1",-0.720411833471387,0.237801720892605,0.747727785480506,0.150707148085786,NA,NA,NA,NA,-0.0557940963187283,0.212364159158504,NA,NA,NA,NA,-0.903256457789476,0.292844113290342,-0.596471882428257,0.201449680096108,0,11.2725514258468,159.422280993166,5,98,328.844561986332,7.48187005511761,0.0130103231694243,NA,0.955195567027975,0.285221613118913
"12","127","~Julian + 1 ~ S500.mean_MaxHeight + Whitebirch_500 + 1",-0.719853319105318,0.239240323659048,0.746730088837577,0.158514100600288,NA,NA,NA,NA,NA,NA,NA,NA,-0.011182975056537,0.123667915012588,-0.911149396157955,0.292787225208658,-0.604552766242518,0.202587280510671,0,13.4683924499278,159.452057113337,5,98,328.904114226674,7.54142229545926,0.0126286369904189,NA,0.967824204018394,0.284787127503891
"13","234","~1 ~ S500.mean_MaxHeight + Species_Pice_Gla_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",-0.80295254958366,0.253580698351217,0.657257247536128,0.152653709052835,-0.457394897459635,0.192775533160608,0.399130738995643,0.159668801610711,NA,NA,NA,NA,NA,NA,-0.84111960448072,0.309101781529299,NA,NA,0,19.3902133478027,160.137989236428,5,98,330.275978472856,8.91328654164096,0.00636004141442558,NA,0.97418424543282,0.274704732899643
"14","267","~1 ~ S500.mean_MaxHeight + Tremblingaspen_500 + Whitebirch_500 + 1",-0.841908349136442,0.254615822085293,0.419876914540755,0.200906428363273,NA,NA,NA,NA,NA,NA,0.588994646173128,0.218144587761191,-0.23337998381338,0.16766057791588,-0.795840880958,0.306684110875684,NA,NA,0,25.0963021310633,160.363972412364,5,98,330.727944824727,9.36525289351243,0.00507360552157795,NA,0.979257850954398,0.271352017278707
"15","26","~1 ~ S500.mean_MaxHeight + Tremblingaspen_500 + 1",-0.801359878812399,0.24753922940327,0.4676907393924,0.200911699738698,NA,NA,NA,NA,NA,NA,0.375441939009701,0.162901326733144,NA,NA,-0.800871693838776,0.302881428148336,NA,NA,0,21.5618420723968,161.461091005974,4,98,330.922182011949,9.55949008073424,0.00460403512233125,NA,0.983861886076729,0.254853447469081
"16","367","~1 ~ Species_Pice_Gla_v1_500 + Tremblingaspen_500 + Whitebirch_500 + 1",-0.83712525626372,0.253547454608539,NA,NA,-0.302426212073248,0.167427957874439,NA,NA,NA,NA,0.955765490424182,0.180970762910846,-0.288011083990566,0.16244869802753,-0.795678346315469,0.307860233489781,NA,NA,0,19.6569775800685,160.726923466516,5,98,331.453846933031,10.0911550018163,0.00352930391028114,NA,0.98739118998701,0.265934763426237
"17","346","~1 ~ Species_Pice_Gla_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_500 + 1",-0.79979190381662,0.248219426334024,NA,NA,-0.442318757483013,0.1963939354297,0.300294259223704,0.17542488704818,NA,NA,0.606931600746069,0.1441015814881,NA,NA,-0.820906133177152,0.303062482025852,NA,NA,0,21.7685488064863,161.125552766702,5,98,332.251105533404,10.8884136021898,0.00236900813416953,NA,0.98976019812118,0.259938571180233
"18","256","~1 ~ S500.mean_MaxHeight + Structure_Stand_Age_v1_500 + Tremblingaspen_500 + 1",-0.82253452061237,0.256348679667035,0.435650634209875,0.208048888811367,NA,NA,NA,NA,0.14417929107808,0.252423694990846,0.424336644884134,0.182424178862378,NA,NA,-0.813840736044466,0.307804919907883,NA,NA,0,21.8775303979572,161.292626814522,5,98,332.585253629043,11.2225616978286,0.00200450532764484,NA,0.991764703448825,0.257410895812255
"19","246","~1 ~ S500.mean_MaxHeight + SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_500 + 1",-0.796618551856178,0.247405449596694,0.458907055192965,0.204219834455721,NA,NA,0.0401339141829257,0.161537323392165,NA,NA,0.353950072075723,0.185865838981555,NA,NA,-0.80141537605823,0.302321685160183,NA,NA,0,27.5402645438789,161.430356797207,5,98,332.860713594415,11.4980216632002,0.00174659351533307,NA,0.993511296964158,0.255320678264438
"20","67","~1 ~ Tremblingaspen_500 + Whitebirch_500 + 1",-0.813705575647301,0.242995736218939,NA,NA,NA,NA,NA,NA,NA,NA,0.85312221566979,0.173047176771141,-0.266737030784585,0.163988573222072,-0.753726291418808,0.296664601722772,NA,NA,0,17.8017386588627,162.488811702357,4,98,332.977623404714,11.6149314734989,0.00164742328711743,NA,0.995158720251275,0.239059775920875
"21","36","~1 ~ Species_Pice_Gla_v1_500 + Tremblingaspen_500 + 1",-0.781726627308285,0.241328866195433,NA,NA,-0.286103661025459,0.173186944323875,NA,NA,NA,NA,0.713206731604175,0.12751640269063,NA,NA,-0.784506267172183,0.299165104152417,NA,NA,0,15.1901849675628,162.548252845525,4,98,333.09650569105,11.7338137598356,0.00155235212382659,NA,0.996711072375102,0.238136130971737
"22","356","~1 ~ Species_Pice_Gla_v1_500 + Structure_Stand_Age_v1_500 + Tremblingaspen_500 + 1",-0.802052729917553,0.252125087260026,NA,NA,-0.307831978790815,0.173074105273543,NA,NA,0.285221205691451,0.228295374325114,0.746678044338143,0.133796566622845,NA,NA,-0.818384893940258,0.310649837095925,NA,NA,0,15.764779514068,161.673578276038,5,98,333.347156552076,11.9844646208609,0.00136950019132188,NA,0.998080572566424,0.251615121763426
"23","6","~1 ~ Tremblingaspen_500 + 1",-0.760567627350632,0.232268952568551,NA,NA,NA,NA,NA,NA,NA,NA,0.635826341766803,0.11760937973779,NA,NA,-0.75048357666699,0.290762506223573,NA,NA,0,13.8496342731172,164.015290406451,3,98,334.030580812901,12.6678888816865,0.000973102088434803,NA,0.999053674654858,0.214981383947793
"24","345","~1 ~ Species_Pice_Gla_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + Structure_Stand_Age_v1_500 + 1",-0.860279923932558,0.263977195685154,NA,NA,-0.725305163680811,0.205720249484145,1.11715620471158,0.217856001655724,1.17202112668605,0.338678975706679,NA,NA,NA,NA,-0.879228145629451,0.314808455632224,NA,NA,0,16.7230437119395,162.043192977877,5,98,334.086385955753,12.7236940245385,0.000946325345141665,NA,1,0.245948592101915
